"","refshort","patch_type","diversity_index","q_order","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"155","Develey_2004","fragmented","beta","q = 0",1.38703161980612,0.0728143533932969,13,38.6031,72
"156","Develey_2004","fragmented","beta","q = 2",1.19561081829043,0.0637656374681212,13,38.6031,72
"157","Didham_1999","continuous","alpha","q = 0",45.1070478883179,4.39127838272931,24,90.2081,6.5
"158","Didham_1999","continuous","alpha","q = 2",23.9893101591393,6.65178019699847,24,90.2081,6.5
"159","Didham_1999","continuous","gamma","q = 0",89.5393972856357,7.50439507930923,24,90.2081,6.5
"160","Didham_1999","continuous","gamma","q = 2",33.9708866537119,7.82157215910253,24,90.2081,6.5
"161","Didham_1999","continuous","beta","q = 0",1.98504228224666,0.140209479006433,24,90.2081,6.5
"162","Didham_1999","continuous","beta","q = 2",1.41608434875189,0.335585100977001,24,90.2081,6.5
"163","Didham_1999","fragmented","alpha","q = 0",48.9646139851644,3.21809921416243,16,69.46755,50.5
"164","Didham_1999","fragmented","alpha","q = 2",29.1953507171269,5.59193628751886,16,69.46755,50.5
"165","Didham_1999","fragmented","gamma","q = 0",98.6608833621292,5.50473210779512,16,69.46755,50.5
"166","Didham_1999","fragmented","gamma","q = 2",44.9512521744756,6.27711670095265,16,69.46755,50.5
"167","Didham_1999","fragmented","beta","q = 0",2.01494253364322,0.110545844457576,16,69.46755,50.5
"168","Didham_1999","fragmented","beta","q = 2",1.53967159394684,0.217492092728202,16,69.46755,50.5
"169","Fujita_2008","continuous","alpha","q = 0",5.9197406510078,0.502297144160489,2,70.1775,18
"170","Fujita_2008","continuous","alpha","q = 2",3.61692487561077,0.431470942856578,2,70.1775,18
"171","Fujita_2008","continuous","gamma","q = 0",9.82701673203801,0.244635283615464,2,70.1775,18
"172","Fujita_2008","continuous","gamma","q = 2",4.53206293291362,1.22385513655348,2,70.1775,18
"173","Fujita_2008","continuous","beta","q = 0",1.66004176726307,0.0566791782173135,2,70.1775,18
"174","Fujita_2008","continuous","beta","q = 2",1.25301550039751,0.32547320579108,2,70.1775,18
"175","Fujita_2008","fragmented","alpha","q = 0",3.35077245321808,1.09580008719775,4,19.8497,75.5
"176","Fujita_2008","fragmented","alpha","q = 2",1.66598432251982,0.582092710036004,4,19.8497,75.5
"177","Fujita_2008","fragmented","gamma","q = 0",5.56811793095451,1.17121468062903,4,19.8497,75.5
"178","Fujita_2008","fragmented","gamma","q = 2",1.82614218043017,0.864610324513263,4,19.8497,75.5
"179","Fujita_2008","fragmented","beta","q = 0",1.6617415860653,0.82457513470304,4,19.8497,75.5
"180","Fujita_2008","fragmented","beta","q = 2",1.09613407265929,0.540542839425849,4,19.8497,75.5
"181","Garmendia_etal_2013","continuous","alpha","q = 0",2.5436159214023,0.0458036379390893,3,90.26865,13
"182","Garmendia_etal_2013","continuous","alpha","q = 2",2.27334153022442,0.0753544230805577,3,90.26865,13
"183","Garmendia_etal_2013","continuous","gamma","q = 0",6.18785711902552,0.1976615259666,3,90.26865,13
"184","Garmendia_etal_2013","continuous","gamma","q = 2",4.47163188563271,0.558626878408096,3,90.26865,13
"185","Garmendia_etal_2013","continuous","beta","q = 0",2.43270104851921,0.0440838471586272,3,90.26865,13
"186","Garmendia_etal_2013","continuous","beta","q = 2",1.96698640577392,0.234992418746014,3,90.26865,13
"187","Garmendia_etal_2013","fragmented","alpha","q = 0",2.58436553729813,0.212867046230424,16,65.1344,64
"188","Garmendia_etal_2013","fragmented","alpha","q = 2",2.3494631839812,0.28327542374011,16,65.1344,64
"189","Garmendia_etal_2013","fragmented","gamma","q = 0",6.23178674479883,0.630601048949603,16,65.1344,64
"190","Garmendia_etal_2013","fragmented","gamma","q = 2",4.65117803286016,0.624635825767488,16,65.1344,64
"191","Garmendia_etal_2013","fragmented","beta","q = 0",2.41134106412592,0.214418190336511,16,65.1344,64
"192","Garmendia_etal_2013","fragmented","beta","q = 2",1.9796769170814,0.265276546619856,16,65.1344,64
"193","Gaublomme_2008","continuous","alpha","q = 0",49.7011400961019,9.47684320726949,1,82.8228,17
"194","Gaublomme_2008","continuous","alpha","q = 2",11.6130459803763,7.17510635057011,1,82.8228,17
"195","Gaublomme_2008","continuous","gamma","q = 0",71.5714332341849,0,1,82.8228,17
"196","Gaublomme_2008","continuous","gamma","q = 2",14.2469336266456,0,1,82.8228,17
"197","Gaublomme_2008","continuous","beta","q = 0",1.44003604536626,0,1,82.8228,17
"198","Gaublomme_2008","continuous","beta","q = 2",1.22680420371365,0,1,82.8228,17
"199","Gaublomme_2008","fragmented","alpha","q = 0",28.009580254282,10.6115179650898,7,54.9315,97
"200","Gaublomme_2008","fragmented","alpha","q = 2",3.42192684825999,1.8502870660047,7,54.9315,97
"201","Gaublomme_2008","fragmented","gamma","q = 0",42.3719419487284,14.9459925514546,7,54.9315,97
"202","Gaublomme_2008","fragmented","gamma","q = 2",3.69795922733319,2.15634857829763,7,54.9315,97
"203","Gaublomme_2008","fragmented","beta","q = 0",1.51276604519094,0.256426471957046,7,54.9315,97
"204","Gaublomme_2008","fragmented","beta","q = 2",1.08066577437608,0.236046592959089,7,54.9315,97
