"","refshort","patch_type","diversity_index","diversity_value"
"360","Uehara_Prado_2007","continuous","gamma_2_q2",8.47332416948707
"361","Vasconcelos_2006","continuous","alphaC",30.9316688630438
"362","Vasconcelos_2006","continuous","alphaC2",15.8184945702285
"363","Vasconcelos_2006","continuous","beta_C",1.16873991008711
"364","Vasconcelos_2006","fragmented","alphaC",28.538027206792
"365","Vasconcelos_2006","fragmented","alphaC2",15.5783095434374
"366","Vasconcelos_2006","fragmented","beta_C",1.25841895513788
"367","Vasconcelos_2006","fragmented","gamma_2_q0",41.793825074144
"368","Vasconcelos_2006","fragmented","gamma_2_q2",20.0273914741067
"369","Vasconcelos_2006","continuous","gamma_2_q0",43.8010292342334
"370","Vasconcelos_2006","continuous","gamma_2_q2",19.3811172434258
